Account,Account_Title,Organization,Budget_Activity,Budget_Activity_Title,Line_Number,PE_BLI,Program_Element_Budget_Line_Item_BLI_Title,Include_In_TOA,FY_2025_Actuals,FY_2025_Reconciliation,FY_2025_Total,FY_2026_Discretionary_Enacted,FY_2026_PL_119_21_Spend_Plan,FY_2026_Total,FY_2027_Discretionary_Request,FY_2027_Mandatory_Request,FY_2027_Total,Classification
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,12,0602144A,Ground Technology,Y,148459,,148459,130842,,130842,44146,,44146,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,13,0602145A,Next Generation Combat Vehicle Technology,Y,167383,,167383,169297,,169297,70540,,70540,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,14,0602146A,Network C3I Technology,Y,105577,,105577,107029,,107029,53373,,53373,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,15,0602147A,Long Range Precision Fires Technology,Y,66351,,66351,114294,,114294,24086,,24086,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,16,0602148A,Future Verticle Lift Technology,Y,52804,,52804,38920,,38920,17727,,17727,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,17,0602150A,Air and Missile Defense Technology,Y,47942,,47942,71792,,71792,36113,,36113,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,18,0602180A,Artificial Intelligence and Machine Learning Technologies,Y,17072,,17072,13745,,13745,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,19,0602181A,All Domain Convergence Applied Research,Y,12088,,12088,,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,20,0602182A,C3I Applied Research,Y,25281,,25281,26317,,26317,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,21,0602183A,Air Platform Applied Research,Y,42356,,42356,63305,,63305,43700,,43700,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,22,0602184A,Soldier Applied Research,Y,13873,,13873,27597,,27597,2429,,2429,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,23,0602213A,C3I Applied Cyber,Y,28656,,28656,4716,,4716,63,,63,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,24,0602275A,Electronic Warfare Applied Research,Y,,,,45415,,45415,51184,,51184,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,25,0602276A,Electronic Warfare Cyber Applied Research,Y,,,,17102,,17102,9857,,9857,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,26,0602345A,Unmanned Aerial Systems Launched Effects Applied Research,Y,,,,18408,,18408,22871,,22871,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,27,0602386A,Biotechnology for Materials - Applied Research,Y,10496,,10496,8209,,8209,14979,,14979,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,29,0602785A,Manpower/Personnel/Training Technology,Y,19072,,19072,17191,,17191,14275,,14275,U
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied research,30,0602787A,Medical Technology,Y,64842,,64842,186793,,186793,149221,,149221,U
2040A,"Research, Development, Test and Evaluation, Army",,02,Applied research,999,9999999999,Classified Programs,Y,35766,,35766,34599,,34599,32883,,32883,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,31,0603002A,Medical Advanced Technology,Y,9599,,9599,8860,,8860,17876,,17876,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,32,0603007A,"Manpower, Personnel and Training Advanced Technology",Y,14693,,14693,13559,,13559,11113,,11113,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,33,0603025A,Army Agile Innovation and Demonstration,Y,14075,,14075,44150,,44150,3325,,3325,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,34,0603040A,Artificial Intelligence and Machine Learning Advanced Technologies,Y,25025,,25025,37487,,37487,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,35,0603041A,All Domain Convergence Advanced Technology,Y,23183,,23183,10560,,10560,3575,,3575,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,36,0603042A,C3I Advanced Technology,Y,19860,,19860,26228,,26228,1211,,1211,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,37,0603043A,Air Platform Advanced Technology,Y,16596,,16596,51266,,51266,23471,,23471,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,38,0603044A,Soldier Advanced Technology,Y,13580,,13580,10807,,10807,3951,,3951,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,39,0603116A,Lethality Advanced Technology,Y,53785,,53785,51232,,51232,31812,,31812,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,40,0603118A,Soldier Lethality Advanced Technology,Y,100309,,100309,166186,,166186,125121,,125121,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,41,0603119A,Ground Advanced Technology,Y,89885,,89885,187007,1500,188507,25043,,25043,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,42,0603134A,Counter Improvised-Threat Simulation,Y,20688,,20688,15692,,15692,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,43,0603135A,Counter Small Unmanned Aerial Systems (C-SUAS) Advanced Technology,Y,,,,7773,,7773,156520,,156520,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,44,0603275A,Electronic Warfare Advanced Technology,Y,,,,85922,,85922,156326,,156326,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,45,0603276A,Electronic Warfare Cyber Advanced Technology,Y,,,,15254,,15254,15278,,15278,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,46,0603345A,Unmanned Aerial Systems Launched Effects Advanced Technology Development,Y,,,,13898,,13898,33129,,33129,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,47,0603386A,Biotechnology for Materials - Advanced Research,Y,35033,,35033,24683,,24683,22402,,22402,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,48,0603457A,C3I Cyber Advanced Development,Y,39616,,39616,29829,,29829,8509,,8509,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,49,0603461A,High Performance Computing Modernization Program,Y,231168,,231168,236609,,236609,215090,,215090,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,50,0603462A,Next Generation Combat Vehicle Advanced Technology,Y,248074,,248074,308201,,308201,118207,,118207,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,51,0603463A,Network C3I Advanced Technology,Y,150510,,150510,143939,,143939,48490,,48490,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,52,0603464A,Long Range Precision Fires Advanced Technology,Y,174160,,174160,184206,155700,339906,422590,,422590,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,53,0603465A,Future Vertical Lift Advanced Technology,Y,173161,,173161,111686,8401,120087,14984,,14984,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,54,0603466A,Air and Missile Defense Advanced Technology,Y,60451,,60451,59080,,59080,63924,,63924,U
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,56,0603920A,Humanitarian Demining,Y,22934,,22934,36349,,36349,7619,,7619,U
2040A,"Research, Development, Test and Evaluation, Army",,03,Advanced technology development,999,9999999999,Classified Programs,Y,155526,,155526,70537,,70537,80717,,80717,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,58,0603305A,Army Missle Defense Systems Integration,Y,19886,,19886,17641,,17641,8367,,8367,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,59,0603308A,Army Space Systems Integration,Y,32132,,32132,92580,,92580,59573,,59573,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,60,0603327A,Air and Missile Defense Systems Engineering,Y,30000,,30000,100000,,100000,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,61,0603619A,Landmine Warfare and Barrier - Adv Dev,Y,58477,,58477,34296,,34296,31374,,31374,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,62,0603627A,"Smoke, Obscurant and Target Defeating Sys-Adv Dev",Y,,,,,,,5596,,5596,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,63,0603639A,Tank and Medium Caliber Ammunition,Y,108340,,108340,87972,50000,137972,277248,,277248,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,64,0603645A,Armored System Modernization - Adv Dev,Y,22387,,22387,22645,,22645,23594,,23594,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,65,0603747A,Soldier Support and Survivability,Y,3911,,3911,4033,,4033,4109,,4109,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,66,0603766A,Tactical Electronic Surveillance System - Adv Dev,Y,87765,,87765,117325,,117325,98331,,98331,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,67,0603774A,Night Vision Systems Advanced Development,Y,20250,,20250,19353,,19353,5310,,5310,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,68,0603779A,Environmental Quality Technology - Dem/Val,Y,22637,,22637,36343,,36343,19499,,19499,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,69,0603790A,NATO Research and Development,Y,4031,,4031,5031,,5031,5145,,5145,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,70,0603801A,Aviation - Adv Dev,Y,197292,,197292,,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,71,0603804A,Logistics and Engineer Equipment - Adv Dev,Y,20946,,20946,40435,10000,50435,12822,,12822,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,72,0603807A,Medical Systems - Adv Dev,Y,2071,,2071,1000,,1000,1017,,1017,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,73,0603827A,Soldier Systems - Advanced Development,Y,23398,,23398,49356,,49356,56122,,56122,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,74,0604017A,Robotics Development,Y,12563,,12563,36561,,36561,20290,,20290,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,75,0604019A,Expanded Mission Area Missile (EMAM),Y,82658,,82658,58189,5000,63189,235593,,235593,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,76,0604020A,Cross Functional Team (CFT) Advanced Development & Prototyping,Y,38934,,38934,,12000,12000,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,77,0604035A,Low Earth Orbit (LEO) Satellite Capability,Y,21134,,21134,17063,,17063,319,,319,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,78,0604036A,Multi-Domain Sensing System (MDSS) Adv Dev,Y,188228,,188228,249188,,249188,99471,,99471,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,79,0604037A,Tactical Intel Targeting Access Node (TITAN) Adv Dev,Y,4317,,4317,3092,,3092,4123,,4123,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,80,0604100A,Analysis Of Alternatives,Y,10824,,10824,9865,,9865,10077,,10077,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,81,0604101A,Small Unmanned Aerial Vehicle (SUAV) (6.4),Y,1734,,1734,,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,82,0604103A,Electronic Warfare Planning and Management Tool (EWPMT),Y,2004,,2004,,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,83,0604113A,Future Tactical Unmanned Aircraft System (FTUAS),Y,127870,,127870,,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,84,0604114A,Lower Tier Air Missile Defense (LTAMD) Sensor,Y,122777,,122777,192045,,192045,162074,,162074,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,85,0604115A,Technology Maturation Initiatives,Y,256806,,256806,324432,29300,353732,314671,,314671,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,86,0604117A,Maneuver - Short Range Air Defense (M-SHORAD),Y,264521,,264521,236149,60150,296299,460980,,460980,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,87,0604120A,"Assured Positioning, Navigation and Timing (PNT)",Y,20969,,20969,8686,,8686,18993,,18993,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,88,0604121A,Synthetic Training Environment Refinement & Prototyping,Y,110937,,110937,176657,,176657,219137,,219137,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,89,0604129A,Advanced Power Applications,Y,,,,,5000,5000,48000,,48000,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,90,0604134A,"Counter Improvised-Threat Demonstration, Prototype Development, and Testing",Y,10613,,10613,5491,,5491,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,91,0604135A,Strategic Mid-Range Fires,Y,,,,226215,,226215,211848,,211848,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,92,0604182A,Hypersonics,Y,,,,25000,,25000,82939,40000,122939,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,93,0604386A,Biotechnology for Materials - Dem/Val,Y,10262,,10262,,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,94,0604403A,Future Interceptor,Y,7764,,7764,,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,96,0604531A,Counter - Small Unmanned Aircraft Systems Advanced Development,Y,77794,,77794,45281,,45281,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,98,0604541A,Unified Network Transport,Y,30675,,30675,29191,,29191,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced component development and prototypes,99,0305251A,Cyberspace Operations Forces and Force Support,Y,2270,,2270,5605,,5605,22889,,22889,U
2040A,"Research, Development, Test and Evaluation, Army",,04,Advanced component development and prototypes,999,9999999999,Classified Programs,Y,281270,,281270,203746,25000,228746,261466,,261466,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,100,0604201A,Aircraft Avionics,Y,6909,,6909,17696,,17696,30658,,30658,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,101,0604270A,Electronic Warfare Development,Y,28706,,28706,9153,,9153,2807,,2807,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,102,0604601A,Infantry Support Weapons,Y,55767,,55767,77653,,77653,55296,,55296,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,103,0604604A,Medium Tactical Vehicles,Y,3435,,3435,18503,,18503,23763,,23763,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,104,0604611A,JAVELIN,Y,10025,,10025,9810,,9810,10217,,10217,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,105,0604622A,Family of Heavy Tactical Vehicles,Y,33424,,33424,38664,,38664,43003,,43003,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,106,0604633A,Air Traffic Control,Y,946,,946,,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,107,0604641A,Tactical Unmanned Ground Vehicle (TUGV),Y,89162,,89162,,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,108,0604642A,Light Tactical Wheeled Vehicles,Y,5058,,5058,,,,6142,,6142,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,109,0604645A,Armored Systems Modernization (ASM) - Eng Dev,Y,46341,,46341,,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,110,0604710A,Night Vision Systems - Eng Dev,Y,134589,,134589,461274,,461274,418427,,418427,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,111,0604713A,"Combat Feeding, Clothing, and Equipment",Y,3195,,3195,5654,,5654,6701,,6701,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,112,0604715A,Non-System Training Devices - Eng Dev,Y,23337,,23337,19063,,19063,29685,,29685,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,113,0604741A,"Air Defense Command, Control and Intelligence - Eng Dev",Y,71111,,71111,13892,43300,57192,14276,,14276,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,114,0604742A,Constructive Simulation Systems Development,Y,28616,,28616,7790,,7790,5618,,5618,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,115,0604746A,Automatic Test Equipment Development,Y,12455,,12455,9512,,9512,9625,,9625,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,116,0604760A,Distributive Interactive Simulations (DIS) - Eng Dev,Y,8589,,8589,7724,,7724,7883,,7883,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,117,0604798A,"Brigade Analysis, Integration and Evaluation",Y,26584,,26584,24318,,24318,26602,,26602,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,118,0604802A,Weapons and Munitions - Eng Dev,Y,232181,,232181,156844,,156844,124881,,124881,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,119,0604804A,Logistics and Engineer Equipment - Eng Dev,Y,45302,,45302,61194,,61194,65238,,65238,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,120,0604805A,"Command, Control, Communications Systems - Eng Dev",Y,88931,,88931,63725,,63725,5541,,5541,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,121,0604807A,Medical Materiel/Medical Biological Defense Equipment - Eng Dev,Y,6955,,6955,16252,,16252,9744,,9744,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,122,0604808A,Landmine Warfare/Barrier - Eng Dev,Y,49348,,49348,72532,,72532,17586,,17586,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,123,0604818A,Army Tactical Command & Control Hardware & Software,Y,129265,,129265,429164,3450,432614,42584,,42584,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,124,0604820A,Radar Development,Y,40066,,40066,53226,14000,67226,58260,,58260,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,125,0604822A,General Fund Enterprise Business System (GFEBS),Y,1922,,1922,,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,126,0604827A,Soldier Systems - Warrior Dem/Val,Y,28069,,28069,4137,22587,26724,5663,,5663,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,127,0604852A,Suite of Survivability Enhancement Systems - EMD,Y,75022,,75022,75180,,75180,78331,,78331,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,128,0604854A,Artillery Systems - EMD,Y,40929,,40929,76767,,76767,709192,,709192,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,129,0605013A,Information Technology Development,Y,92084,,92084,124247,,124247,121525,,121525,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,130,0605018A,Integrated Personnel and Pay System-Army (IPPS-A),Y,116925,,116925,160912,,160912,102694,,102694,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,131,0605030A,Joint Tactical Network Center (JTNC),Y,19454,,19454,20954,,20954,21561,,21561,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,132,0605031A,Joint Tactical Network (JTN),Y,30075,,30075,41696,,41696,50390,,50390,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,133,0605035A,Common Infrared Countermeasures (CIRCM),Y,11261,,11261,12789,,12789,11573,,11573,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,134,0605036A,Combating Weapons of Mass Destruction (CWMD),Y,7560,,7560,13322,,13322,5605,,5605,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,135,0605037A,Evidence Collection and Detainee Processing,Y,,,,4619,,4619,5513,,5513,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,136,0605038A,Nuclear Biological Chemical Reconnaissance Vehicle (NBCRV) Sensor Suite,Y,7598,,7598,13459,,13459,13864,,13864,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,137,0605041A,Defensive CYBER Tool Development,Y,4176,,4176,3611,,3611,3519,,3519,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,138,0605042A,Tactical Network Radio Systems (Low-Tier),Y,4131,,4131,3222,,3222,3804,,3804,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,139,0605047A,Contract Writing System,Y,8937,,8937,8101,,8101,4777,,4777,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,140,0605049A,Missile Warning System Modernization (MWSM),Y,45,,45,13530,,13530,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,141,0605051A,Aircraft Survivability Development,Y,36269,,36269,47182,13530,60712,106621,,106621,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,142,0605052A,Indirect Fire Protection Capability Inc 2 - Block 1,Y,135769,,135769,243087,,243087,175352,,175352,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,143,0605053A,Ground Robotics,Y,27342,,27342,160818,74000,234818,192185,,192185,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,144,0605054A,Emerging Technology Initiatives,Y,122503,,122503,80046,139000,219046,147881,,147881,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,145,0605058A,Terminal High Altitude Area Defense (THAAD) RDTE,Y,,,,,,,1053983,,1053983,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,146,0605144A,Next Generation Load Device - Medium,Y,2931,,2931,24492,,24492,2380,,2380,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,147,0605148A,Tactical Intel Targeting Access Node (TITAN) EMD,Y,149112,,149112,44273,,44273,35769,,35769,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,148,0605205A,Small Unmanned Aerial Vehicle (SUAV) (6.5),Y,23581,,23581,,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,149,0605206A,CI and HUMINT Equipment Program-Army (CIHEP-A),Y,1296,,1296,,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,150,0605216A,Joint Targeting Integrated Command and Coordination Suite (JTIC2S),Y,20633,,20633,,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,151,0605224A,Multi-Domain Intelligence,Y,18913,,18913,44844,,44844,49594,,49594,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,152,0605231A,Precision Strike Missile (PrSM),Y,177328,,177328,,197184,197184,288304,,288304,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,153,0605232A,Hypersonics EMD,Y,452628,,452628,501530,19401,520931,446616,,446616,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,154,0605233A,Accessions Information Environment (AIE),Y,37305,,37305,32710,,32710,33770,,33770,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,155,0605235A,Strategic Mid-Range Capability,Y,176150,,176150,182128,,182128,82550,,82550,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,156,0605236A,Integrated Tactical Communications,Y,11778,,11778,22732,,22732,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,157,0605241A,Future Long Range Assault Aircraft Development,Y,1015350,,1015350,1220568,310000,1530568,2140569,,2140569,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,158,0605242A,Theater SIGINT System (TSIGS),Y,3660,,3660,,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,159,0605244A,Joint Reduced Range Rocket (JR3),Y,13070,,13070,28893,,28893,16014,,16014,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,160,0605247A,Spectrum Situational Awareness System (S2AS),Y,4495,,4495,,,,,,,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,161,0605275A,Electronic Warfare Systems Development,Y,,,,59202,,59202,99691,,99691,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,162,0605330A,C2 Transport,Y,,,,,,,45370,,45370,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,163,0605331A,C2 Applications,Y,,,,,,,488401,,488401,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,164,0605332A,C2 Data,Y,,,,,,,306019,,306019,U
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,165,0605333A,C2 Infrastructure,Y,,,,,,,64849,,64849,U
